date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:22	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Feb%202020%2022:13:23%20GMT	https://themes.muffingroup.com/robots.txt		(from )
23:13:23	108637/108637	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2020:39:58%20GMT	https://themes.muffingroup.com/be/itservice3/	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/index.html	(from )
23:13:25	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/sethm/Desktop/BeItWebApp/www.google-analytics.com/analytics.js	(from https://themes.muffingroup.com/be/itservice3/)
23:13:26	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:%221536-59d1c4fee26ef-gzip%22	https://themes.muffingroup.com/be/itservice3/wp-content/themes/betheme/images/favicon.ico	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/wp-content/themes/betheme/images/favicon.ico	(from https://themes.muffingroup.com/be/itservice3/)
23:13:26	92293/92293	---M-Z	200	added ('OK')	text/css	etag:%223c63-59eeb74ed3059%22	https://themes.muffingroup.com/be/itservice3/wp-content/cache/minify/0b648.css	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/wp-content/cache/minify/0b648.css	(from https://themes.muffingroup.com/be/itservice3/)
23:13:27	438637/438637	---M-Z	200	added ('OK')	text/css	etag:%2210ab9-59eeb74eef576%22	https://themes.muffingroup.com/be/itservice3/wp-content/cache/minify/eb214.css	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/wp-content/cache/minify/eb214.css	(from https://themes.muffingroup.com/be/itservice3/)
23:13:27	2100/2100	---MC-	200	added ('OK')	application/rss+xml	etag:%2232c997da1ac1e2e6f22348aeaf84c887%22	https://themes.muffingroup.com/be/itservice3/feed/	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/feed/index.html	(from https://themes.muffingroup.com/be/itservice3/)
23:13:27	2040/2040	---MC-	200	added ('OK')	application/rss+xml	etag:%220a7ecfc15fe1416c95b75883746aaac4%22	https://themes.muffingroup.com/be/itservice3/comments/feed/	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/comments/feed/index.html	(from https://themes.muffingroup.com/be/itservice3/)
23:13:27	1064/1064	---MC-	200	added ('OK')	application/rss+xml	etag:%220a7ecfc15fe1416c95b75883746aaac4%22	https://themes.muffingroup.com/be/itservice3/sample-page/feed/	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/sample-page/feed/index.html	(from https://themes.muffingroup.com/be/itservice3/)
23:13:30	2495/2495	---M-Z	200	added ('OK')	text/css	etag:%2239d-59eeb74ed20b9%22	https://themes.muffingroup.com/be/itservice3/wp-content/cache/minify/78f48.css	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/wp-content/cache/minify/78f48.css	(from https://themes.muffingroup.com/be/itservice3/)
23:13:30	332217/332217	---M--	200	added ('OK')	image/jpeg	etag:%22511b9-59d1c3d73b9c9%22	https://themes.muffingroup.com/be/itservice3/wp-content/uploads/2019/11/itservice3-subheader.jpg	C:/Users/sethm/Desktop/BeItWebApp/themes.muffingroup.com/be/itservice3/wp-content/uploads/2019/11/itservice3-subheader.jpg	(from https://themes.muffingroup.com/be/itservice3/)
